Group,Identity,Coverage
groupe2000,0.174,0.735
groupe2000,0.175,0.749
groupe2000,0.124,0.691
groupe2000,0.205,0.887
groupe2000,0.117,0.681
groupe2000,0.118,0.694
groupe2000,0.162,0.696
groupe2000,0.186,0.904
groupe2000,0.128,0.673
groupe2000,0.155,0.746
groupe2000,0.146,0.723
groupe2000,0.135,0.797
groupe2000,0.147,0.688
groupe2000,0.125,0.691
groupe2000,0.127,0.72
groupe2000,0.242,0.891
groupe2000,0.095,0.626
groupe2000,0.112,0.689
groupe2000,0.114,0.665
groupe2000,0.148,0.733
groupe2000,0.137,0.714
groupe2000,0.135,0.666
groupe2000,0.115,0.709
groupe2000,0.158,0.72
groupe2000,0.11,0.702
groupe2000,0.166,0.788
groupe2000,0.179,0.654
groupe2000,0.114,0.606
groupe2000,0.157,0.74
groupe2000,0.147,0.763
groupe2000,0.202,0.885
groupe2000,0.214,0.885
groupe2000,0.147,0.676
groupe2000,0.151,0.74
groupe2000,0.155,0.649
groupe2000,0.112,0.579
groupe2000,0.145,0.763
groupe2000,0.148,0.704
groupe2000,0.206,0.77
groupe2000,0.131,0.763
groupe2000,0.123,0.706
groupe2000,0.112,0.705
groupe2000,0.16,0.736
groupe2000,0.121,0.748
groupe2000,0.119,0.685
groupe2000,0.157,0.74
groupe2000,0.167,0.682
groupe2000,0.129,0.75
groupe2000,0.137,0.751
groupe2000,0.121,0.744
groupe2000,0.137,0.693
groupe2000,0.117,0.717
groupe2000,0.142,0.747
groupe2000,0.609,0.991
groupe2000,0.103,0.67
groupe2000,0.155,0.713
groupe2000,0.141,0.709
groupe2000,0.144,0.738
groupe2000,0.153,0.744
groupe2000,0.149,0.66
groupe2000,0.152,0.746
groupe2000,0.179,0.711
groupe2000,0.078,0.644
groupe2000,0.133,0.757
groupe2000,0.154,0.768
groupe2000,0.11,0.724
groupe2000,0.152,0.713
groupe2000,0.132,0.68
groupe2000,0.22,0.904
groupe2000,0.171,0.74
groupe2000,0.18,0.802
groupe2000,0.113,0.708
groupe2000,0.118,0.756
groupe2000,0.151,0.76
groupe2000,0.16,0.75
groupe2000,0.125,0.737
groupe2000,0.106,0.685
groupe2000,0.439,0.984
groupe2000,0.104,0.714
groupe2000,0.16,0.732
groupe2000,0.178,0.705
groupe2000,0.167,0.796
groupe2000,0.177,0.706
groupe2000,0.124,0.72
groupe2000,0.177,0.786
groupe2000,0.147,0.751
groupe2000,0.18,0.709
groupe2000,0.126,0.684
groupe2000,0.099,0.723
groupe2000,0.284,0.716
groupe2000,0.152,0.761
groupe2000,0.092,0.67
groupe2000,0.145,0.729
groupe2000,0.143,0.748
groupe2000,0.137,0.751
groupe2000,0.137,0.751
groupe2000,0.187,0.851
groupe2000,0.193,0.803
groupe2000,0.154,0.711
groupe2000,0.076,0.538
groupe2000,0.446,0.958
groupe2000,0.067,0.529
groupe2000,0.13,0.751
groupe2000,0.074,0.501
groupe2000,0.089,0.666
groupe2000,0.117,0.847
groupe2000,0.149,0.704
groupe2000,0.091,0.498
groupe2000,0.065,0.522
groupe2000,0.087,0.527
groupe2000,0.107,0.507
groupe2000,0.137,0.775
groupe2000,0.532,0.967
groupe2000,0.075,0.518
groupe2000,0.054,0.474
groupe2000,0.141,0.849
groupe2000,0.046,0.269
groupe2000,0.436,0.946
groupe2000,0.061,0.516
groupe2000,0.042,0.397
groupe2000,0.079,0.55
groupe2000,0.096,0.53
groupe2000,0.086,0.515
groupe2000,0.084,0.585
groupe2000,0.215,0.859
groupe2000,0.792,1.0
groupe2000,0.097,0.5
groupe2000,0.192,0.687
groupe2000,0.05,0.487
groupe2000,0.104,0.553
groupe2000,0.091,0.496
groupe2000,0.096,0.548
groupe2000,0.091,0.633
groupe2000,0.069,0.503
groupe2000,0.066,0.523
groupe2000,0.079,0.516
groupe2000,0.067,0.501
groupe2000,0.075,0.51
groupe2000,0.09,0.525
groupe2000,0.084,0.545
groupe2000,0.172,0.815
groupe2000,0.067,0.536
groupe2000,0.069,0.524
groupe2000,0.098,0.523
groupe2000,0.073,0.559
groupe2000,0.04,0.321
groupe2000,0.075,0.545
groupe2000,0.114,0.714
groupe2000,0.036,0.325
groupe2000,0.059,0.445
groupe2000,0.108,0.588
groupe2000,0.058,0.555
groupe2000,0.633,0.992
groupe2000,0.097,0.539
groupe2000,0.135,0.771
groupe2000,0.058,0.531
groupe2000,0.081,0.567
groupe2000,0.102,0.547
groupe2000,0.058,0.459
groupe2000,0.079,0.498
groupe2000,0.098,0.496
groupe2000,0.077,0.523
groupe2000,0.42,0.954
groupe2000,0.13,0.788
groupe2000,0.075,0.447
groupe2000,0.049,0.494
groupe2000,0.07,0.528
groupe2000,0.515,0.977
groupe2000,0.155,0.53
groupe2000,0.07,0.536
groupe2000,0.046,0.501
groupe2000,0.074,0.546
groupe2000,0.079,0.518
groupe2000,0.077,0.527
groupe2000,0.119,0.736
groupe2000,0.233,0.913
groupe2000,0.089,0.67
groupe2000,0.146,0.65
groupe2000,0.065,0.503
groupe2000,0.141,0.568
groupe2000,0.08,0.526
groupe2000,0.187,0.665
groupe2000,0.07,0.528
groupe2000,0.159,0.716
groupe2000,0.061,0.394
groupe2000,0.071,0.25
groupe2000,0.061,0.424
groupe2000,0.888,0.7
groupe2000,0.056,0.505
groupe2000,0.087,0.515
groupe2000,0.528,0.904
groupe2000,0.077,0.598
groupe2000,0.064,0.534
groupe2000,0.131,0.72
groupe2000,0.084,0.528
groupe2000,0.146,0.799
groupe2000,0.088,0.5
groupe2000,0.131,0.679
groupe2000,0.154,0.89
groupe2000,0.127,0.608
groupe2000,0.063,0.77
groupe2000,0.197,0.674
groupe2000,0.197,0.736
groupe2000,0.09,0.801
groupe2000,0.162,0.777
groupe2000,0.19,0.794
groupe2000,0.11,0.807
groupe2000,0.125,0.671
groupe2000,0.169,0.742
groupe2000,0.253,0.914
groupe2000,0.143,0.819
groupe2000,0.105,0.558
groupe2000,0.135,0.681
groupe2000,0.167,0.841
groupe2000,0.094,0.59
groupe2000,0.141,0.849
groupe2000,0.134,0.68
groupe2000,0.098,0.646
groupe2000,0.271,0.904
groupe2000,0.156,0.789
groupe2000,0.109,0.598
groupe2000,0.169,0.736
groupe2000,0.16,0.834
groupe2000,0.242,0.768
groupe2000,0.099,0.718
groupe2000,0.156,0.813
groupe2000,0.033,0.777
groupe2000,0.113,0.713
groupe2000,0.246,0.942
groupe2000,0.097,0.807
groupe2000,0.2,0.805
groupe2000,0.159,0.824
groupe2000,0.164,0.803
groupe2000,0.031,0.588
groupe2000,0.194,0.759
groupe2000,0.178,0.621
groupe2000,0.236,0.9
groupe2000,0.197,0.852
groupe2000,0.154,0.877
groupe2000,0.69,1.0
groupe2000,0.254,0.904
groupe2000,0.094,0.564
groupe2000,0.197,0.867
groupe2000,0.175,0.774
groupe2000,0.205,0.781
groupe2000,0.103,0.748
groupe2000,0.191,0.795
groupe2000,0.141,0.759
groupe2000,0.191,0.721
groupe2000,0.138,0.719
groupe2000,0.09,0.805
groupe2000,0.296,0.917
groupe2000,0.114,0.687
groupe2000,0.123,0.713
groupe2000,0.182,0.61
groupe2000,0.11,0.929
groupe2000,0.222,0.893
groupe2000,0.225,0.953
groupe2000,0.344,0.899
groupe2000,0.137,0.62
groupe2000,0.267,0.746
groupe2000,0.164,0.846
groupe2000,0.308,0.904
groupe2000,0.186,0.824
groupe2000,0.065,0.724
groupe2000,0.104,0.607
groupe2000,0.152,0.667
groupe2000,0.184,0.705
groupe2000,0.107,0.782
groupe2000,0.167,0.707
groupe2000,0.134,0.624
groupe2000,0.076,0.729
groupe2000,0.115,0.705
groupe2000,0.122,0.783
groupe2000,0.133,0.697
groupe2000,0.166,0.737
groupe2000,0.134,0.663
groupe2000,0.168,0.75
groupe2000,0.139,0.731
groupe2000,0.226,0.814
groupe2000,0.172,0.777
groupe2000,0.21,0.755
groupe2000,0.193,0.769
groupe2000,0.17,0.809
groupe2000,0.142,0.682
groupe2000,0.16,0.781
groupe2000,0.081,0.638
groupe2000,0.143,0.785
groupe2000,0.124,0.667
groupe2000,0.098,0.665
groupe2000,0.096,0.704
groupe2000,0.148,0.785
groupe2000,0.137,0.764
groupe2000,0.086,0.736
groupe2000,0.143,0.776
groupe2000,0.166,0.769
groupe2000,0.201,0.718
groupe2000,0.182,0.794
groupe2000,0.156,0.692
groupe2000,0.208,0.828
groupe2000,0.106,0.729
groupe2000,0.14,0.694
groupe2000,0.15,0.597
groupe2000,0.114,0.75
groupe2000,0.119,0.639
groupe2000,0.968,0.974
groupe2000,0.246,0.897
groupe2000,0.211,0.837
groupe2000,0.158,0.78
groupe2000,0.106,0.746
groupe2000,0.179,0.729
groupe2000,0.138,0.797
groupe2000,0.18,0.825
groupe2000,0.153,0.808
groupe2000,0.112,0.639
groupe2000,0.86,0.998
groupe2000,0.138,0.77
groupe2000,0.186,0.811
groupe2000,0.088,0.804
groupe2000,0.097,0.654
groupe2000,0.147,0.799
groupe2000,0.122,0.77
groupe2000,0.211,0.723
groupe2000,0.129,0.733
groupe2000,0.131,0.626
groupe2000,0.115,0.717
groupe2000,0.191,0.801
groupe2000,0.105,0.714
groupe2000,0.087,0.687
groupe2000,0.122,0.729
groupe2000,0.099,0.734
groupe2000,0.113,0.764
groupe2000,0.106,0.639
groupe2000,0.084,0.712
groupe2000,0.676,0.997
groupe2000,0.096,0.733
groupe2000,0.148,0.8
groupe2000,0.115,0.725
groupe2000,0.219,0.894
groupe2000,0.144,0.745
groupe2000,0.188,0.795
groupe2000,0.104,0.663
groupe2000,0.149,0.676
groupe2000,0.143,0.776
groupe2000,0.068,0.692
groupe2000,0.175,0.777
groupe2000,0.263,0.856
groupe2000,0.174,0.842
groupe2000,0.298,0.749
groupe2000,0.316,0.981
groupe2000,0.129,0.59
groupe2000,0.106,0.744
groupe2000,0.098,0.719
groupe2000,0.079,0.746
groupe2000,0.083,0.647
groupe2000,0.106,0.741
groupe2000,0.198,0.867
groupe2000,0.097,0.644
groupe2000,0.053,0.672
groupe2000,0.148,0.746
groupe2000,0.111,0.744
groupe2000,0.105,0.749
groupe2000,0.13,0.745
groupe2000,0.156,0.765
groupe2000,0.272,0.851
groupe2000,0.106,0.793
groupe2000,0.068,0.746
groupe2000,0.209,0.792
groupe2000,0.123,0.77
groupe2000,0.119,0.725
groupe2000,0.154,0.712
groupe2000,0.139,0.75
groupe2000,0.119,0.739
groupe2000,0.268,0.889
groupe2000,0.116,0.693
groupe2000,0.084,0.603
groupe2000,0.08,0.649
groupe2000,0.077,0.521
groupe2000,0.127,0.711
groupe2000,0.081,0.437
groupe2000,0.096,0.674
groupe2000,0.629,1.0
groupe2000,0.11,0.586
groupe2000,0.113,0.672
groupe2000,0.113,0.684
groupe2000,0.103,0.69
groupe2000,0.126,0.653
groupe2000,0.195,0.695
groupe2000,0.09,0.609
groupe2000,0.098,0.783
groupe2000,0.157,0.739
groupe2000,0.12,0.778
groupe2000,0.109,0.714
groupe2000,0.096,0.674
groupe2000,0.989,1.0
groupe2000,0.103,0.673
groupe2000,0.649,1.0
groupe2000,0.047,0.502
groupe2000,0.225,0.674
groupe2000,0.114,0.591
groupe2000,0.086,0.557
groupe2000,0.175,0.749
groupe2000,0.229,0.843
groupe2000,0.096,0.674
groupe2000,0.193,0.871
groupe2000,0.113,0.649
groupe2000,0.128,0.739
groupe2000,0.117,0.636
groupe2000,0.076,0.542
groupe2000,0.134,0.779
groupe2000,0.15,0.728
groupe2000,0.108,0.6
groupe2000,0.145,0.667
groupe2000,0.121,0.74
groupe2000,0.365,0.96
groupe2000,0.117,0.717
groupe2000,0.228,0.676
groupe2000,0.096,0.674
groupe2000,0.623,1.0
groupe2000,0.079,0.557
groupe2000,0.283,0.952
groupe2000,0.099,0.582
groupe2000,0.242,0.676
groupe2000,0.112,0.705
groupe2000,0.54,0.983
groupe2000,0.113,0.613
groupe2000,0.066,0.581
groupe2000,0.733,0.992
groupe2000,0.312,0.824
groupe2000,0.323,0.892
groupe2000,0.291,0.819
groupe2000,0.279,0.84
groupe2000,0.153,0.748
groupe2000,0.856,0.754
groupe2000,0.927,1.0
groupe2000,0.178,0.873
groupe2000,0.109,0.669
groupe2000,0.291,0.849
groupe2000,0.892,0.997
groupe2000,0.279,0.708
groupe2000,0.187,0.874
groupe2000,0.324,0.849
groupe2000,0.273,0.849
groupe2000,0.238,0.793
groupe2000,0.298,0.842
groupe2000,0.91,1.0
groupe2000,0.291,0.849
groupe2000,0.323,0.892
groupe2000,0.158,0.717
groupe2000,0.297,0.849
groupe2000,0.147,0.721
groupe2000,0.146,0.615
groupe2000,0.891,1.0
groupe2000,0.085,0.662
groupe2000,0.893,1.0
groupe2000,0.188,0.775
groupe2000,0.472,0.801
groupe2000,0.24,0.638
groupe2000,0.267,0.846
groupe2000,0.183,0.669
groupe2000,0.213,0.831
groupe2000,0.101,0.669
groupe2000,0.263,0.844
groupe2000,0.246,0.857
groupe2000,0.192,0.78
groupe2000,0.309,0.834
groupe2000,0.904,1.0
groupe2000,0.353,0.885
groupe2000,0.349,0.862
groupe2000,0.331,0.895
groupe2000,0.285,0.849
groupe2000,0.966,1.0
groupe2000,0.247,0.87
groupe2000,0.278,0.906
groupe2000,0.189,0.868
groupe2000,0.434,0.907
groupe2000,0.224,0.828
groupe2000,0.291,0.849
groupe2000,0.291,0.849
groupe2000,0.952,1.0
groupe2000,0.164,0.649
groupe2000,0.131,0.663
groupe2000,0.073,0.722
groupe2000,0.0,0.114
groupe2000,0.0,0.042
groupe2000,0.0,0.049
groupe2000,0.008,0.068
groupe2000,0.019,0.188
groupe2000,0.098,0.65
groupe2000,0.009,0.049
groupe2000,0.041,0.358
groupe2000,0.107,0.398
groupe2000,0.0,0.053
groupe2000,0.101,0.609
groupe2000,0.202,0.86
groupe2000,0.0,0.0
groupe2000,0.017,0.305
groupe2000,0.029,0.064
groupe2000,0.091,0.45
groupe2000,0.17,0.685
groupe2000,0.051,0.438
groupe2000,0.117,0.513
groupe2000,0.045,0.635
groupe2000,0.112,0.725
groupe2000,0.093,0.482
groupe2000,0.132,0.73
groupe2000,0.149,0.635
groupe2000,0.123,0.728
groupe2000,0.0,0.064
groupe2000,0.0,0.089
groupe2000,0.162,0.894
groupe2000,0.126,0.698
groupe2000,0.062,0.464
groupe2000,0.017,0.186
groupe2000,0.233,0.709
groupe2000,0.108,0.524
groupe2000,0.028,0.13
groupe2000,0.0,0.055
groupe2000,0.188,0.74
groupe2000,0.086,0.425
groupe2000,0.0,0.0
groupe2000,0.019,0.089
groupe2000,0.014,0.081
groupe2000,0.14,0.679
groupe2000,0.0,0.0
groupe2000,0.009,0.177
groupe2000,0.008,0.082
groupe2000,0.022,0.119
groupe2000,0.193,0.691
groupe2000,0.097,0.739
groupe2000,0.078,0.471
groupe2000,0.0,0.077
groupe2000,0.183,0.889
groupe2000,0.145,0.85
groupe2000,0.192,0.721
groupe2000,0.18,0.87
groupe2000,0.155,0.857
groupe2000,0.169,0.744
groupe2000,0.065,0.543
groupe2000,0.185,0.769
groupe2000,0.174,0.853
groupe2000,0.149,0.68
groupe2000,0.094,0.556
groupe2000,0.078,0.55
groupe2000,0.224,0.92
groupe2000,0.225,0.694
groupe2000,0.181,0.88
groupe2000,0.111,0.716
groupe2000,0.117,0.711
groupe2000,0.723,0.962
groupe2000,0.056,0.457
groupe2000,0.086,0.554
groupe2000,0.089,0.642
groupe2000,0.078,0.556
groupe2000,0.101,0.565
groupe2000,0.15,0.746
groupe2000,0.076,0.604
groupe2000,0.199,0.858
groupe2000,0.49,0.947
groupe2000,0.09,0.574
groupe2000,0.613,0.958
groupe2000,0.202,0.884
groupe2000,0.179,0.875
groupe2000,0.1,0.574
groupe2000,0.96,1.0
groupe2000,0.105,0.647
groupe2000,0.151,0.722
groupe2000,0.06,0.425
groupe2000,0.087,0.53
groupe2000,0.085,0.555
groupe2000,0.304,0.771
groupe2000,0.119,0.559
groupe2000,0.241,0.89
groupe2000,0.099,0.564
groupe2000,0.109,0.579
groupe2000,0.236,0.778
groupe2000,0.215,0.764
groupe2000,0.178,0.729
groupe2000,0.088,0.555
groupe2000,0.15,0.728
groupe2000,0.087,0.716
groupe2000,0.073,0.559
groupe2000,0.138,0.724
groupe2000,0.101,0.689
groupe2000,0.083,0.703
groupe2000,0.106,0.7
groupe2000,0.121,0.744
groupe2000,0.122,0.756
groupe2000,0.139,0.751
groupe2000,0.117,0.717
groupe2000,0.152,0.809
groupe2000,0.117,0.752
groupe2000,0.098,0.774
groupe2000,0.116,0.81
groupe2000,0.174,0.752
groupe2000,0.147,0.728
groupe2000,0.124,0.726
groupe2000,0.124,0.676
groupe2000,0.53,0.863
groupe2000,0.16,0.806
groupe2000,0.123,0.683
groupe2000,0.139,0.803
groupe2000,0.083,0.732
groupe2000,0.229,0.862
groupe2000,0.109,0.755
groupe2000,0.096,0.67
groupe2000,0.217,0.827
groupe2000,0.116,0.718
groupe2000,0.138,0.687
groupe2000,0.192,0.802
groupe2000,0.176,0.825
groupe2000,0.166,0.722
groupe2000,0.114,0.762
groupe2000,0.172,0.741
groupe2000,0.123,0.77
groupe2000,0.151,0.836
groupe2000,0.131,0.759
groupe2000,0.106,0.681
groupe2000,0.132,0.726
groupe2000,0.118,0.797
groupe2000,0.114,0.805
groupe2000,0.111,0.698
groupe2000,0.126,0.713
groupe2000,0.097,0.693
groupe2000,0.121,0.71
groupe2000,0.114,0.732
groupe2000,0.155,0.805
groupe2000,0.137,0.771
groupe2000,0.255,0.894
groupe2000,0.129,0.816
groupe2000,0.116,0.691
groupe2000,0.411,0.94
groupe2000,0.099,0.73
groupe2000,0.167,0.741
groupe2000,0.242,0.836
groupe2000,0.119,0.69
groupe2000,0.116,0.659
groupe2000,0.07,0.723
groupe2000,0.107,0.66
groupe2000,0.222,0.757
groupe2000,0.099,0.675
groupe2000,0.406,0.945
groupe2000,0.133,0.708
groupe2000,0.094,0.647
groupe2000,0.099,0.675
groupe2000,0.068,0.631
groupe2000,0.218,0.692
groupe2000,0.189,0.694
groupe2000,0.142,0.656
groupe2000,0.102,0.66
groupe2000,0.105,0.621
groupe2000,0.171,0.814
groupe2000,0.073,0.548
groupe2000,0.249,0.743
groupe2000,0.133,0.679
groupe2000,0.112,0.709
groupe2000,0.274,0.91
groupe2000,0.807,0.985
groupe2000,0.086,0.631
groupe2000,0.246,0.657
groupe2000,0.064,0.581
groupe2000,0.126,0.713
groupe2000,0.131,0.71
groupe2000,0.405,0.94
groupe2000,0.128,0.692
groupe2000,0.068,0.718
groupe2000,0.145,0.688
groupe2000,0.226,0.792
groupe2000,0.137,0.685
groupe2000,0.13,0.59
groupe2000,0.089,0.609
groupe2000,0.432,0.945
groupe2000,0.11,0.672
groupe2000,0.094,0.763
groupe2000,0.152,0.8
groupe2000,0.13,0.733
groupe2000,0.121,0.754
groupe2000,0.146,0.805
groupe2000,0.104,0.817
groupe2000,0.122,0.79
groupe2000,0.132,0.792
groupe2000,0.204,0.911
groupe2000,0.169,0.783
groupe2000,0.143,0.792
groupe2000,0.277,0.934
groupe2000,0.111,0.814
groupe2000,0.118,0.774
groupe2000,0.136,0.807
groupe2000,0.165,0.916
groupe2000,0.284,0.931
groupe2000,0.125,0.802
groupe2000,0.105,0.867
groupe2000,0.124,0.8
groupe2000,0.252,0.931
groupe2000,0.127,0.787
groupe2000,0.125,0.775
groupe2000,0.204,0.916
groupe2000,0.15,0.841
groupe2000,0.15,0.818
groupe2000,0.141,0.837
groupe2000,0.127,0.8
groupe2000,0.14,0.777
groupe2000,0.307,0.873
groupe2000,0.126,0.763
groupe2000,0.143,0.764
groupe2000,0.165,0.757
groupe2000,0.168,0.863
groupe2000,0.1,0.803
groupe2000,0.199,0.895
groupe2000,0.235,0.918
groupe2000,0.167,0.916
groupe2000,0.214,0.767
groupe2000,0.167,0.774
groupe2000,0.179,0.88
groupe2000,0.152,0.812
groupe2000,0.132,0.802
groupe2000,0.559,0.948
groupe2000,0.618,0.977
groupe2000,0.563,0.958
groupe2000,0.563,0.967
groupe2000,0.355,0.967
groupe2000,0.662,0.99
groupe2000,0.829,0.99
groupe2000,0.838,0.983
groupe2000,0.623,0.987
groupe2000,0.49,0.987
groupe2000,0.461,0.968
groupe2000,0.409,0.977
groupe2000,0.364,0.977
groupe2000,0.721,0.997
groupe2000,0.37,0.977
groupe2000,0.556,0.949
groupe2000,0.591,0.977
groupe2000,0.656,0.997
groupe2000,0.436,0.916
groupe2000,0.599,0.99
groupe2000,0.825,0.942
groupe2000,0.566,0.967
groupe2000,0.586,0.948
groupe2000,0.417,0.96
groupe2000,0.839,0.973
groupe2000,0.868,0.99
groupe2000,0.426,0.95
groupe2000,0.569,0.974
groupe2000,0.422,0.958
groupe2000,0.539,0.977
groupe2000,0.701,0.997
groupe2000,0.566,0.948
groupe2000,0.442,0.977
groupe2000,0.5,0.732
groupe2000,0.743,0.997
groupe2000,0.271,0.949
groupe2000,0.647,0.987
groupe2000,0.503,0.942
groupe2000,0.476,0.957
groupe2000,0.243,0.965
groupe2000,0.303,0.854
groupe2000,0.587,0.995
groupe2000,1.0,1.0
groupe2000,0.312,0.911
groupe2000,0.268,0.92
groupe2000,0.56,1.0
groupe2000,0.248,0.879
groupe2000,0.273,0.919
groupe2000,0.532,0.876
groupe2000,0.376,0.932
groupe2000,0.349,0.911
groupe2000,0.248,0.946
groupe2000,0.541,1.0
groupe2000,0.366,0.978
groupe2000,1.0,1.0
groupe2000,0.45,0.938
groupe2000,0.225,0.961
groupe2000,0.376,0.932
groupe2000,0.275,0.946
groupe2000,0.422,0.937
groupe2000,0.229,0.885
groupe2000,0.541,1.0
groupe2000,0.248,0.927
groupe2000,0.789,1.0
groupe2000,0.239,0.863
groupe2000,0.56,1.0
groupe2000,0.204,0.894
groupe2000,0.422,0.937
groupe2000,0.336,0.907
groupe2000,0.413,0.937
groupe2000,0.294,0.917
groupe2000,0.239,0.91
groupe2000,0.376,0.937
groupe2000,0.514,1.0
groupe2000,0.318,0.917
groupe2000,0.987,0.779
groupe2000,0.21,0.871
groupe2000,0.135,0.621
groupe2000,0.184,0.8
groupe2000,0.99,0.776
groupe2000,0.605,0.921
groupe2000,0.585,0.777
groupe2000,0.262,0.873
groupe2000,0.258,0.859
groupe2000,0.667,0.835
groupe2000,0.191,0.844
groupe2000,0.379,0.939
groupe2000,0.201,0.852
groupe2000,0.203,0.8
groupe2000,0.9,0.95
groupe2000,0.996,0.9
groupe2000,0.181,0.841
groupe2000,0.938,0.979
groupe2000,0.324,0.838
groupe2000,0.179,0.843
groupe2000,0.186,0.79
groupe2000,0.606,0.834
groupe2000,0.812,0.992
groupe2000,0.19,0.849
groupe2000,0.62,0.892
groupe2000,0.175,0.843
groupe2000,0.193,0.849
groupe2000,0.186,0.816
groupe2000,0.174,0.82
groupe2000,0.188,0.811
groupe2000,0.813,0.989
groupe2000,0.852,0.742
groupe2000,0.614,0.886
groupe2000,0.818,0.989
groupe2000,0.319,0.933
groupe2000,0.181,0.841
groupe2000,0.127,0.561
groupe2000,0.128,0.596
groupe2000,0.073,0.518
groupe2000,0.185,0.671
groupe2000,0.133,0.552
groupe2000,0.099,0.602
groupe2000,0.106,0.512
groupe2000,0.099,0.475
groupe2000,0.153,0.52
groupe2000,0.138,0.612
groupe2000,0.12,0.604
groupe2000,0.102,0.623
groupe2000,0.105,0.54
groupe2000,0.131,0.618
groupe2000,0.186,0.664
groupe2000,0.077,0.472
groupe2000,0.095,0.561
groupe2000,0.253,0.774
groupe2000,0.527,0.952
groupe2000,0.129,0.623
groupe2000,0.151,0.648
groupe2000,0.083,0.45
groupe2000,0.189,0.768
groupe2000,0.297,0.85
groupe2000,0.15,0.647
groupe2000,0.098,0.551
groupe2000,0.121,0.544
groupe2000,0.175,0.651
groupe2000,0.119,0.575
groupe2000,0.998,1.0
groupe2000,0.111,0.637
groupe2000,0.102,0.559
groupe2000,0.536,0.976
groupe2000,0.136,0.561
groupe2000,0.111,0.637
groupe2000,0.998,1.0
groupe2000,0.124,0.485
groupe2000,0.107,0.599
groupe2000,0.147,0.721
groupe2000,0.126,0.669
groupe2000,0.102,0.535
groupe2000,0.1,0.568
groupe2000,0.064,0.46
groupe2000,0.158,0.662
groupe2000,0.15,0.714
groupe2000,0.082,0.473
groupe2000,0.095,0.527
groupe2000,0.169,0.727
groupe2000,0.072,0.438
groupe2000,0.146,0.669
groupe2000,0.497,0.976
groupe2000,0.128,0.635
groupe2000,0.126,0.687
groupe2000,0.158,0.615
groupe2000,0.116,0.612
groupe2000,0.081,0.541
groupe2000,0.166,0.765
groupe2000,0.146,0.629
groupe2000,0.128,0.437
groupe2000,0.988,1.0
groupe2000,0.141,0.663
groupe2000,0.096,0.582
groupe2000,0.158,0.714
groupe2000,0.176,0.779
groupe2000,0.107,0.674
groupe2000,0.152,0.703
groupe2000,0.143,0.608
groupe2000,0.099,0.604
groupe2000,0.093,0.549
groupe2000,0.777,0.91
groupe2000,0.437,0.929
groupe2000,0.927,1.0
groupe2000,0.987,1.0
groupe2000,0.655,0.801
groupe2000,0.987,1.0
groupe2000,0.746,0.8
groupe2000,0.352,0.902
groupe2000,0.88,0.787
groupe2000,0.741,0.938
groupe2000,0.733,0.966
groupe2000,0.303,0.672
groupe2000,0.306,0.88
groupe2000,0.944,1.0
groupe2000,0.871,0.824
groupe2000,0.28,0.908
groupe2000,0.39,0.926
groupe2000,0.737,0.966
groupe2000,0.733,0.966
groupe2000,0.749,0.963
groupe2000,0.354,0.75
groupe2000,0.385,0.906
groupe2000,0.28,0.9
groupe2000,0.232,0.795
groupe2000,0.72,0.966
groupe2000,0.978,1.0
groupe2000,0.31,0.864
groupe2000,0.97,1.0
groupe2000,0.907,0.823
groupe2000,0.336,0.918
groupe2000,0.281,0.687
groupe2000,1.0,1.0
groupe2000,0.7,0.774
groupe2000,0.337,0.913
groupe2000,0.44,0.907
groupe2000,0.11,0.783
groupe2000,0.114,0.765
groupe2000,0.712,0.991
groupe2000,0.275,0.897
groupe2000,0.113,0.749
groupe2000,0.157,0.851
groupe2000,0.111,0.774
groupe2000,0.106,0.768
groupe2000,0.328,0.937
groupe2000,0.126,0.803
groupe2000,0.133,0.85
groupe2000,0.126,0.813
groupe2000,0.144,0.843
groupe2000,0.126,0.835
groupe2000,0.115,0.803
groupe2000,0.251,0.921
groupe2000,0.354,0.879
groupe2000,1.0,1.0
groupe2000,0.143,0.777
groupe2000,0.114,0.707
groupe2000,0.116,0.739
groupe2000,0.108,0.802
groupe2000,0.127,0.783
groupe2000,0.143,0.805
groupe2000,0.174,0.874
groupe2000,0.138,0.794
groupe2000,0.13,0.782
groupe2000,0.116,0.763
groupe2000,0.134,0.789
groupe2000,0.155,0.791
groupe2000,0.236,0.881
groupe2000,0.133,0.737
groupe2000,0.16,0.84
groupe2000,0.117,0.729
groupe2000,0.136,0.786
groupe2000,0.985,0.979
groupe2000,0.169,0.867
groupe2000,0.986,1.0
groupe2000,0.176,0.824
groupe2000,0.127,0.749
groupe2000,0.761,1.0
groupe2000,0.143,0.837
groupe2000,0.985,1.0
groupe2000,0.824,0.979
groupe2000,0.451,1.0
groupe2000,0.775,1.0
groupe2000,0.197,0.859
groupe2000,1.0,1.0
groupe2000,0.944,1.0
groupe2000,0.75,0.979
groupe2000,0.169,0.859
groupe2000,0.194,0.862
groupe2000,0.183,0.859
groupe2000,0.155,0.859
groupe2000,0.183,0.853
groupe2000,1.0,0.979
groupe2000,0.221,0.806
groupe2000,0.817,1.0
groupe2000,0.324,0.92
groupe2000,0.972,1.0
groupe2000,0.209,0.899
groupe2000,0.206,0.824
groupe2000,0.333,0.972
groupe2000,0.297,0.951
groupe2000,0.926,0.979
groupe2000,0.183,0.793
groupe2000,0.162,0.95
groupe2000,0.235,0.806
